FAAR;REGM    ;RKAL  ;FM;FD;DBNR  ;TUR;AM;AD;AH  ;LM;LD;LH  ;RE; MA;HA;   VAR;OMRA   ;OKSO;HO;LO;   LENG;BTON;TENH;HEST;FISK;       VEKT
2019;N 0020MS;3YCU  ;03;25;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   4.6;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1027;         60
2019;N 0020MS;3YCU  ;03;26;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.33;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;      22000
2019;N 0020MS;3YCU  ;03;26;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.33;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1027;        120
2019;N 0020MS;3YCU  ;03;26;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.33;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;         50
2019;N 0020MS;3YCU  ;03;26;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.33;IIa    ;NOR;05;15;   36.5; 490;    ;1000;    ;          0
2019;N 0020MS;3YCU  ;03;27;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  1.28;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;       5600
2019;N 0020MS;3YCU  ;03;27;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  1.28;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1027;         70
2019;N 0020MS;3YCU  ;03;27;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  1.28;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;        250
2019;N 0020MS;3YCU  ;03;28;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04; 29.13;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;      48400
2019;N 0020MS;3YCU  ;03;28;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04; 29.13;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1027;        190
2019;N 0020MS;3YCU  ;03;28;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04; 29.13;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;       1950
2019;N 0020MS;3YCU  ;03;29;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;   4.9;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;      26300
2019;N 0020MS;3YCU  ;03;29;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;   4.9;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1027;        180
2019;N 0020MS;3YCU  ;03;29;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;   4.9;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;       2450
2019;N 0020MS;3YCU  ;03;30;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  2.53;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;       8500
2019;N 0020MS;3YCU  ;03;30;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  2.53;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;        300
2019;N 0020MS;3YCU  ;03;31;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  7.03;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1022;      35000
2019;N 0020MS;3YCU  ;03;31;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  7.03;IIa    ;NOR;05;15;   36.5; 490;    ;1000;1032;       5000
